,n_atoms,SMILES,time
0,6,[H][O][C]([H])([H])[H],0.3778359889984131
1,8,[H][C]([H])([H])[C]([H])([H])[H],0.24867987632751465
2,9,[H][O][C]([H])([H])[C]([H])([H])[H],0.3071558475494385
3,14,[H][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],0.37816405296325684
4,5,[H][O][C]([H])=[O],0.1967487335205078
5,8,[H][N]([H])[C](=[O])[N]([H])[H],0.30930089950561523
6,20,[H][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],0.9202611446380615
7,12,[H][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],0.2645378112792969
8,14,[H][c]1[c]([H])[c]([H])[c]([N]([H])[H])[c]([H])[c]1[H],0.5208399295806885
9,22,[H][c]1[c]([H])[c]([H])[c](-[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],2.1945767402648926
10,23,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([N]([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],5.704221963882446
11,24,[H][C]1=[N][C]2=[C]([C](=[O])[N]([C]([H])([H])[H])[C](=[O])[N]2[C]([H])([H])[H])[N]1[C]([H])([H])[H],5.1846230030059814
12,13,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[H],1.2167630195617676
13,12,[H][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],0.3321878910064697
14,10,[H][C]([H])([H])[C](=[O])[C]([H])([H])[H],2.593125820159912
15,9,[H][C]1=[C]([H])[C]([H])=[C]([H])[O]1,0.21820592880249023
16,20,[H][O][c]1[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]1[H],11.349622011184692
17,22,[H][N]1[C](=[O])[C](=[O])[N]([C]2([H])[C]([H])([H])[C](=[O])[C]([H])([H])[C]2([H])[H])[C]1=[O],3.8752713203430176
18,29,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[C](=[O])[N]([C]1([H])[C](=[O])[N]([H])[C](=[O])[C]([H])([H])[C]1([H])[H])[C]2=[O],7.214787721633911
19,34,[H][c]1[c]([H])[c]([Cl])[c]([H])[c]([C](=[O])[C]([H])([N]([H])[C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])([H])[H])[c]1[H],17.65229105949402
20,37,[H][O][C](=[O])[C]1=[C]([H])[N]([C](=[O])[C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([Cl])[c]([H])[c]21,15.22621202468872
21,40,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[N]2[C]([H])([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],31.05136203765869
22,28,[H][c]1[c]([H])[c]([H])[c]2[c]([C]3=[N][C](=[O])[N]([H])[C](=[O])[C]3([H])[H])[c]([H])[c]([H])[c]([H])[c]2[c]1[H],20.89858913421631
